link,category,title,total_time,yields,ingredients,instructions,image,nutrients,dish,author
https://www.ah.nl/allerhande/recept/R-R1195250/omelet-met-courgette-spaghetti-en-rauwkost,vegetarisch,Omelet met courgette-spaghetti en rauwkost,15,4 serving(s),olijfolie rauwkost eieren balsamicoazijn stokbrood bakje tuinkers hummus,"Verhit de olie in een hapjespan en roerbak de courgettespaghetti met wat zout 2 min. op hoog vuur.
Voeg de rauwkost toe en bak nog 1 min. mee. Laat de groenten uitlekken in een vergiet.
Voeg de rest van de olie toe aan de pan en schep de groenten erin terug.
Klop de eieren los met peper en zout en schenk over de groenten. Doe de deksel op de pan en laat in 8 min. op middelhoog vuur stollen.
Meng ondertussen de rest van de rauwkost met de azijn. Snijd het stokbrood in plakken.
Schuif met behulp van een spatel de omelet op een groot bord. Verdeel de rauwkost en tuinkers erover. Serveer met het stokbrood en de hummus.",https://static.ah.nl/static/recepten/img_RAM_PRD148048_2048x1496_JPG.jpg,"{'calories': '695 kcal', 'fatContent': '32 g vet', 'saturatedFatContent': '7 g waarvan verzadigd', 'carbohydrateContent': '66 g koolhydraten', 'proteinContent': '31 g eiwit'}",spaghetti,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195236/pasta-pesto-van-radijsgroen-en-gebakken-radijsjes,vegetarisch,Pasta pesto van radijsgroen en gebakken radijsjes,20,4 serving(s),pijnboompitten bosjes radijs vierge olijfolie balsamicoazijn kaas basilicum knoflook zeezoutvlokken,"Kook de pasta volgens de aanwijzingen op de verpakking.
Verhit ondertussen een koekenpan zonder olie of boter en rooster de pijnboompitten op middelhoog vuur in ca. 5 min. goudbruin
Laat afkoelen op een bord.
Snijd het blad van de radijs, laat een stukje van de steel zitten.
Spoel de radijsjes en het groen goed schoon en dep droog. Gooi eventuele gele blaadjes weg.
Verhit de olie in een koekenpan en bak de radijsjes 2 min. op middelhoog vuur. Voeg de azijn toe en bak nog 1 min. mee.
Zet het vuur laag en laat nog 6-8 min. met de deksel op de pan smoren. Breng op smaak met peper.
Rasp ondertussen de oude kaas met de grove rasp.
Doe het radijsblad, basilicum, de pijnboompitten, geraspte kaas, knoflook en de rest van de olie in de hoge beker en pureer tot een gladde pesto.
Voeg eventueel 1 el water (per 4 personen) toe om het gladder te krijgen. Breng op smaak met peper en het zout.
Giet de pasta af, vang een kopje kookvocht op. Schep de pesto door de pasta en voeg eventueel wat kookvocht toe om het smeuïger te maken.
Verdeel over de borden en verdeel de gebakken radijsjes erover.",https://static.ah.nl/static/recepten/img_RAM_PRD148051_2048x1496_JPG.jpg,"{'calories': '650 kcal', 'fatContent': '36 g vet', 'saturatedFatContent': '11 g waarvan verzadigd', 'carbohydrateContent': '57 g koolhydraten', 'proteinContent': '23 g eiwit'}",pasta,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195212/hartige-taart-met-kormagroente-en-kokosmelk,vegetarisch,Hartige taart met kormagroente en kokosmelk,70,4 serving(s),kruidenpasta wokgroente bladerdeeg eieren kokosmelk,"Verwarm de oven voor op 180 °C.
Verhit de olie in een wok en bak de kruidenpasta met de wokgroente 4 min.
Bekleed ondertussen de ingevette quichevorm met het bladerdeeg. Klop de eieren los met de kokosmelk en naar smaak peper.
Verdeel de groenten over het deeg en giet er het eiermengsel over.
Bak de quiche in ca. 45 min. goudbruin en gaar. Dek eventueel af na 30 min. als de quiche te donker wordt. Neem uit de oven en laat 10 min. afkoelen.",https://static.ah.nl/static/recepten/img_RAM_PRD148073_2048x1496_JPG.jpg,"{'calories': '575 kcal', 'fatContent': '39 g vet', 'saturatedFatContent': '23 g waarvan verzadigd', 'carbohydrateContent': '36 g koolhydraten', 'proteinContent': '16 g eiwit'}",groente,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195169/noedelsoep,vegetarisch,Noedelsoep,100,4 serving(s),prei winterpeen shiitake knoflook water sojasaus sesamzaad bosje eieren Hakubaku ramen noedels bamboescheuten taugé norivel,"Was de prei en houd deze met een tang direct op een middelhoge vlam van je gasfornuis.
Rooster ca. 5 min. totdat de schil wat zwartgeblakerd is. Keer regelmatig en snijd in stukken.
Schil de winterpeen en snijd in gelijke stukken. Snijd de shiitake in plakken. Plet de tenen knoflook.
Verhit de olie in een soeppan en fruit de prei, knoflook en winterpeen ca. 5 min. op middelhoog vuur. Schep regelmatig om.
Voeg de gesneden shiitake, peperkorrels en het zout toe.
Voeg het water, de sojasaus en de mirin toe. Breng aan de kook en laat met de deksel op de pan 1 uur op laag vuur koken.
Zeef de bouillon en laat goed uitlekken (je houdt ca. 850 ml bouillon over per 4 personen).
Snijd de gember fijn en stamp de sesamzaadjes fijn in de vijzel. Snijd de salade-ui in dunne ringetjes.
Verhit de olie in een pan en bak de gember en het witte gedeelte van de salade-ui 2 min. op middelhoog vuur.
Voeg de misopasta, geplette sesamzaadjes en de rest van de sojasaus toe en roer goed door.
Voeg de sojamelk geleidelijk toe en roer tot de miso is opgelost. Voeg de groentebouillon toe, breng aan de kook en breng op smaak met peper.
Breng ondertussen een pan water aan de kook en kook daarin de eieren 6 min.
Laat ze schrikken onder koud stromend water, pel ze en halveer ze in de lengte.
Kook de noedels volgens de aanwijzingen op de verpakking. Snijd de rest van de shiitake in vieren.
Verhit de rest van de olie in een koekenpan en bak de shiitake 4 min. op hoog vuur. Schep regelmatig om.
Laat de bamboescheuten uitlekken en spoel af onder koud stromend water.
Verdeel de noedels over wijde kommen. Schenk daar de hete bouillon over.
Leg het ei, de bamboescheuten, gebakken shiitake, taugé en het groene van de salade-ui erbij. Knip het norivel in brede rechthoekjes en steek aan de zijkant in de soep.",https://static.ah.nl/static/recepten/img_RAM_PRD147750_2048x1496_JPG.jpg,"{'calories': '370 kcal', 'fatContent': '21 g vet', 'saturatedFatContent': '4 g waarvan verzadigd', 'carbohydrateContent': '26 g koolhydraten', 'proteinContent': '17 g eiwit'}",noedels,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195155/pita-falafel,vegetarisch,Pita falafel,500,4 serving(s),kikkererwten uien knoflook tafelzout komkommer trostomaten krop water zonnebloemolie pitabroodjes,"Doe de kikkererwten in een kom met ruim water. Laat minstens een nacht (8 uur) tot 2 dagen in de koelkast weken.
Giet af, spoel af met koud water en laat uitlekken.
Snijd de helft van de uien in grove stukken. Pel de tenen knoflook. Snijd de rest van de uien in dunne halve ringen.
Doe in een kom en schep om met de sumak en het zout.
Maal in de keukenmachine de kikkererwten met de grofgesneden ui, de tenen knoflook en bakpoeder tot een grove puree. Breng op smaak met peper en zout.
Je kunt het rauwe mengsel proeven om de smaak te beoordelen.
Snijd de komkommer in schuine plakken van een ½ cm. Snijd de tomaten in dunne plakken. Haal de slablaadjes van de krop.
Halveer de citroen en pers de vrucht uit. Meng 3 el citroensap (per 4 pers.) en het water met de tahina tot een gladde saus.
Proef en breng eventueel verder op smaak met wat zout.
Verhit de olie in een ruime (frituur)pan tot 180 °C.
Vorm met natte handen balletjes ter grootte van een walnoot van het kikkererwtenmengsel (ca. 25 g) en leg ze op een bord.
Bak de falafel in de hete olie in delen in ca. 4-5 min. gaar en knapperig. Laat uitlekken op keukenpapier.
Verwarm ondertussen de pita’s volgens de aanwijzingen op de verpakking.
Snijd ze open en vul de pita’s met afwisselend balletjes falafel en tomaat, 1 à 2 blaadjes baby romaine, sumak-ui en wat tahinasaus.
Serveer de rest van de tahinasaus erbij.",https://static.ah.nl/static/recepten/img_RAM_PRD147753_2048x1496_JPG.jpg,"{'calories': '635 kcal', 'fatContent': '37 g vet', 'saturatedFatContent': '5 g waarvan verzadigd', 'carbohydrateContent': '55 g koolhydraten', 'proteinContent': '17 g eiwit'}",falafel,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195126/rijstsalade-met-edamame-bonen,vegetarisch,Rijstsalade met edamame bonen,15,4 serving(s),basmatirijst limoen sesamolie blik,"Kook de rijst volgens de aanwijzingen op de verpakking. Giet af in een vergiet, spoel onder lauw stromend water en laat uitlekken.
Boen de limoen schoon, rasp de groene schil en pers de vrucht uit. Meng de zuivelspread met de sesamolie, het limoensap en -rasp.
Breng op smaak met peper en zout.
Snijd de avocado’s overlangs doormidden. Verwijder de pit, schep het vruchtvlees met een lepel uit de schil en snijd in plakjes.
Spoel de edamame bonen af onder koud stromend water in een vergiet en laat uitlekken.
Meng de rijst met de dressing, avocado en peen julienne. Verdeel de edamame bonen erover.",https://static.ah.nl/static/recepten/img_RAM_PRD147758_2048x1496_JPG.jpg,"{'calories': '635 kcal', 'fatContent': '32 g vet', 'saturatedFatContent': '6 g waarvan verzadigd', 'carbohydrateContent': '64 g koolhydraten', 'proteinContent': '23 g eiwit'}",rijst,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195109/auberginecurry-met-bloemkoolrijst,vegetarisch,Auberginecurry met bloemkoolrijst,50,4 serving(s),aubergines arachideolie ui curry tomaten blik kikkererwten blik bloemkoolrijst yoghurt stijl,"Verwarm de oven voor op 220 °C.
Snijd de aubergines in blokjes van ca. 1 ½ cm, schep om met de olie en peper en verdeel over een met bakpapier beklede bakplaat.
Rooster in ca. 20 min. in de oven gaar. Schep halverwege om.
Snipper de ui fijn. Verhit de olie in een hapjespan en fruit de ui en curry madraskruiden 3 min. op middelhoog vuur.
Voeg de tomaten toe en breek ze met een pollepel in kleinere stukjes. Zet het vuur laag zodra de saus kookt en laat afgedekt op laag vuur 10 min. koken.
Doe de kikkererwten in een vergiet, spoel af onder koud stromend water.
Neem de aubergine uit de oven en voeg samen met de kikkererwten toe aan de curry en stoof nog 5 min. op laag vuur. Breng op smaak met peper en zout.
Verhit ondertussen de rest van de olie in een koekenpan en bak de bloemkoolrijst 7 min. al omscheppend op middelhoog vuur.
Serveer de auberginecurry met de bloemkoolrijst en Griekse yoghurt.",https://static.ah.nl/static/recepten/img_RAM_PRD147662_2048x1496_JPG.jpg,"{'calories': '375 kcal', 'fatContent': '18 g vet', 'saturatedFatContent': '2 g waarvan verzadigd', 'carbohydrateContent': '33 g koolhydraten', 'proteinContent': '14 g eiwit'}",curry,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195105/parelcouscoussalade-met-groenten-en-feta,vegetarisch,Parelcouscoussalade met groenten en feta,15,4 serving(s),kruidenmix couscoussalade ui paprika vierge olijfolie feta +,"Kook de parelcouscous volgens de aanwijzingen op de verpakking beetgaar.
Snijd ondertussen de haricots verts in stukken van ca. 1 cm en kook de laatste minuut mee met de couscous.
Giet af, meng met de kruidenmix en laat met de deksel op de pan staan.
Snipper ondertussen de ui en snijd de dille fijn.
Halveer de paprika, verwijder de steelaanzet en zaadlijsten en snijd het vruchtvlees in stukjes van ca. 1 cm.
Boen de citroen schoon, rasp de gele schil en pers de vrucht uit.
Meng de parelcouscous en haricots verts met de ui, dille, paprika, het citroenrasp, het -sap en de olie.
Verkruimel de feta en meng samen met de amandelstiften door de parelcouscous. Breng op smaak met peper en zout.",https://static.ah.nl/static/recepten/img_RAM_PRD147666_2048x1496_JPG.jpg,"{'calories': '550 kcal', 'fatContent': '26 g vet', 'saturatedFatContent': '8 g waarvan verzadigd', 'carbohydrateContent': '56 g koolhydraten', 'proteinContent': '19 g eiwit'}",groente,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195073/falafel-quinoaburger-met-zuivelspread-slamelange-rode-biet-en-komkommer,vegetarisch,"Falafel-quinoaburger met zuivelspread, slamelange, rode biet en komkommer",10,4 serving(s),olijfolie falafel-quinoaburgers bakkersbollen volkoren komkommer zuivelspread knoflook kruiden biet,"Verhit de olie in een koekenpan met antiaanbaklaag en bak de falafel-quinoaburgers 7 min. op middelhoog vuur. Keer regelmatig.
Verhit ondertussen de grillpan. Snijd de bakkersbollen overlangs doormidden en gril alle helften op de snijkant 3 min.
Snijd ondertussen de halve komkommer in schuine plakjes. Besmeer alle snijkanten van de broodjes met de zuivelspread.
Beleg de onderkant van de broodjes met wat slamelange, een burger en komkommer en dek af met de bovenkant van de broodjes. Druk iets aan en serveer.",https://static.ah.nl/static/recepten/img_RAM_PRD147197_2048x1496_JPG.jpg,"{'calories': '500 kcal', 'fatContent': '21 g vet', 'saturatedFatContent': '7 g waarvan verzadigd', 'carbohydrateContent': '54 g koolhydraten', 'proteinContent': '19 g eiwit'}",falafel,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195063/roerbak-met-broccoli-peultjes-zilvervliesrijstnoedels-en-korianderyoghurt,vegetarisch,"Roerbak met broccoli, peultjes, zilvervliesrijstnoedels en korianderyoghurt",30,4 serving(s),ui knoflook olijfolie peultjes cashewnoot limoen koriander yoghurt noedels,"Snipper de ui en snijd de knoflook fijn.
Snijd de broccoli in kleine roosjes. Schil de stronk en snijd in kleine stukjes.
Verhit de olie in een wok of hapjespan en bak de ui, knoflook, broccoli en 5 spices 6 min. op middelhoog vuur.
Schep regelmatig om. Voeg de peultjes toe en bak nog 4 min. mee. Breng op smaak met peper.
Verhit ondertussen een koekenpan zonder olie of boter en rooster de cashewnoten op middelhoog vuur in 3 min. goudbruin.
Laat afkoelen op een bord en hak grof.
Boen de limoen schoon. Rasp de groene schil van 1 helft van de limoen en pers deze helft uit. Snijd de andere helft van de vrucht in partjes.
Snijd de koriander fijn. Meng de yoghurt met een ½ tl limoenrasp, ½ el limoensap (per 4 personen) en de helft van de koriander.
Breng op smaak met peper.
Bereid de rijstnoedels volgens de aanwijzingen op de verpakking.
Giet af in een vergiet, spoel onder koud stromend water en laat goed uitlekken.
Voeg de rijstnoedels en de rest van de koriander toe aan de groente en schep om.
Verdeel over diepe borden en bestrooi met de cashewnoten. Serveer met de korianderyoghurt en een partje limoen.",https://static.ah.nl/static/recepten/img_RAM_PRD147207_2048x1496_JPG.jpg,"{'calories': '515 kcal', 'fatContent': '22 g vet', 'saturatedFatContent': '4 g waarvan verzadigd', 'carbohydrateContent': '56 g koolhydraten', 'proteinContent': '18 g eiwit'}",noedels,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1195057/gevulde-paprika-s-met-zilvervliesrijst-rulstukjes-tomaat-en-witte-kaas,vegetarisch,"Gevulde paprika’s met zilvervliesrijst, rulstukjes,tomaat en witte kaas",50,4 serving(s),verse-kaasblokjes zakken zilvervliesrijst cherrytomaten rulstukjes bonenkruiden,"Verwarm de oven voor op 200 °C.
Laat de kaasblokjes uitlekken, maar vang de olie met kruiden op.
Halveer de paprika’s in de lengte en verwijder de zaadlijsten, maar laat het steeltje zitten.
Leg de halve paprika’s op een met bakpapier beklede bakplaat, besprenkel met 1 el kruidenolie van de kaasblokjes (per 4 personen) en bestrooi met peper.
Bak ca. 10 min. in de oven.
Kook ondertussen de rijst volgens de aanwijzingen op de verpakking.
Halveer de tomaten. Haal de paprika’s uit de oven en verlaag de oventemperatuur naar 200 oC.
Meng de rijst met de kaasblokjes, 3 el kruidenolie van de kaasblokjes (per 4 personen), de tomaat, rulstukjes en bonenkruiden.
Breng op smaak met peper. Vul de halve paprika’s met het rijstmengsel en bak ca. 20 min. in de oven.",https://static.ah.nl/static/recepten/img_RAM_PRD147199_2048x1496_JPG.jpg,"{'calories': '735 kcal', 'fatContent': '28 g vet', 'saturatedFatContent': '7 g waarvan verzadigd', 'carbohydrateContent': '70 g koolhydraten', 'proteinContent': '23 g eiwit'}",rijst,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1194995/lente-erwtensoep-met-dille-en-munt,vegetarisch,Lente-erwtensoep met dille en munt,15,4 serving(s),water groentebouillontabletten snijbonen dille munt kaas tuinerwten,"Breng het water met de bouillonblokjes aan de kook. Voeg de snijbonen toe en kook 7 min.
Kook ondertussen de parelcouscous 5 min. en giet af.
Snijd de dille grof, zodat je mooie pluimpjes krijgt. Snijd de blaadjes van de munt in reepjes, laat de kleinste blaadjes heel. Verkruimel de witte kaas.
Voeg de tuinerwten en parelcouscous toe aan de soep en kook nog 3 min. op hoog vuur. Voeg de dille toe en verwarm nog 1 min. op laag vuur mee.
Verdeel de soep over kommen. Bestrooi met de kaas, munt en wat versgemalen zwarte peper. Serveer direct.",https://static.ah.nl/static/recepten/img_RAM_PRD146213_2048x1496_JPG.jpg,"{'calories': '245 kcal', 'fatContent': '6 g vet', 'saturatedFatContent': '3 g waarvan verzadigd', 'carbohydrateContent': '31 g koolhydraten', 'proteinContent': '12 g eiwit'}",soep,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1194994/blad-groentesoep-met-crostini,vegetarisch,Blad-groentesoep met crostini,25,4 serving(s),olijfolie amandelen knoflook rucola uien spinazie veldsla groentebouillontabletten water crème,"Verwarm de oven voor op 200 °C.
Snijd de kapjes van het stokbrood, snijd het brood in 12 schuine plakjes en leg op een met bakpapier beklede bakplaat.
Besprenkel met de olie en rooster ca. 10 min. in het midden van de oven.
Boen ondertussen de citroen schoon, rasp de gele schil en pers deze uit.
Maal het citroenrasp en 1 el sap (per 4 personen) met de olie, de amandelen, de knoflook en de rucola in de keukenmachine of met de staafmixer tot een grof mengsel.
Breng op smaak met peper en zout.
Snijd de knoflook fijn. Snipper de uien. Verhit de olie in een soeppan en fruit de ui 3 min. Voeg de knoflook toe en fruit nog 1 min. mee.
Voeg de spinazie in delen toe en laat in ca. 5 min. op middelhoog vuur grotendeels slinken.
Voeg de rucola (houd wat achter voor garnering), de veldsla, bouillonblokjes en het heet water toe en verwarm ca. 1 min. op laag vuur, zodat alles slinkt maar niet kookt.
Zet het vuur uit en pureer met de staafmixer tot een gladde soep. Breng op smaak met peper en eventueel zout.
Roer de crème fraîche los. Besmeer de crostini met de amandelsaus.
Schenk de soep in kommen. Besprenkel met de crème fraîche en verdeel de achtergehouden rucola erover. Serveer de crostini ernaast.",https://static.ah.nl/static/recepten/img_RAM_PRD146410_2048x1496_JPG.jpg,"{'calories': '595 kcal', 'fatContent': '41 g vet', 'saturatedFatContent': '11 g waarvan verzadigd', 'carbohydrateContent': '36 g koolhydraten', 'proteinContent': '16 g eiwit'}",soep,Albert Heijn
https://www.ah.nl/allerhande/recept/R-R1194985/no-meat-loaf-van-groente-en-linzen,vegetarisch,No meat-loaf van groente en linzen,115,8 serving(s),winterpeen bleekselderij uien knoflookpoeder uienpoeder paprikapoeder olijfolie henneneitjes linzen blik paprika amandelmeel,"Verwarm de oven voor op 200 °C.
Schil en snijd de peen in plakjes van ca. 1 cm. Snijd de bleekselderij in stukken van ca. 2 cm en de uien in parten.
Verdeel over een met bakpapier beklede bakplaat. Bestrooi met de knoflook-, uien- en de paprikapoeder, de olie, peper en zout en schep om.
Rooster ca. 20 min. in het midden van de oven. Schep halverwege om. Neem uit de oven en zet de temperatuur op 180 °C.
Breng ondertussen een pan water aan de kook en kook hierin de eieren 4½ min. Laat schrikken onder koud water en pel ze.
Snijd de champignons in stukjes. Verhit de olie in een koekenpan.
Bak de champignons met de rest van de knoflook en uienpoeder, peper en eventueel zout ca. 10 min. op middelhoog tot hoog vuur goudbruin en tot het vocht verdampt is.
Schep regelmatig om.
Doe alle linzen in een vergiet en spoel af onder koud stromend water. Laat goed uitlekken.
Laat de paprika’s uitlekken, snijd aan 1 kant in en klap ze open. Dep droog.
Bekleed de cakevorm met bakpapier en verdeel de paprika’s met de gladde kant naar beneden in 1 laag over de bodem.
Doe de geroosterde groenten in de keukenmachine en maal grof. Voeg de linzen toe en pulse tot een grof mengsel.
Meng de eieren, kaas, champignons en het amandelmeel erdoor.
Verdeel ¼ van het mengsel gelijkmatig over de cakevorm.
Maak met de bolle kant van een lepel 5 kuiltjes in het midden van de vulling en leg de gekookte eieren erin.
Verdeel de rest van het linzenmengsel voorzichtig rondom en op de eieren. Druk niet te hard aan.
Bak ca. 45 min. in het midden van de oven. Neem uit de oven en laat 15 min. in de vorm staan.
Leg een serveerschaal op de cakevorm en stort op de schaal. Serveer warm of op kamertemperatuur.",https://static.ah.nl/static/recepten/img_RAM_PRD146427_2048x1496_JPG.jpg,"{'calories': 'undefined undefined', 'fatContent': '', 'saturatedFatContent': '', 'carbohydrateContent': '', 'proteinContent': ''}",groente,Albert Heijn
